Time(S), note, event, xport, maxFrame, session, incoming_capacty, outgoing_window, incoming_bytes, outgoing_bytes, link, linkName, link_is_receiver, max_message_size, remote_max_message_size, current, credit, available, queued, unsettled
0.000, 2017-07-31 - streamer example STREAMER log. Sender sends one 2Mb message
0.000, Streamer-to-sender uses 16K max frame
0.000, Streamer chunks incoming data into a 250Kb buffer and stops issuing flows to sender when buffer is full.
0.000, Streamer sends 250Kb to receiver and then sends flow to sender.
0.000, Until sender gets flow it has no session window to send to streamer and holds data in sender buffers

0.001, ENTER, PN_LISTENER_OPEN, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
listening
0.001, EXIT , PN_LISTENER_OPEN, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_LISTENER_ACCEPT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_LISTENER_ACCEPT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_CONNECTION_INIT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_CONNECTION_INIT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_CONNECTION_BOUND, xport-1, 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_CONNECTION_BOUND, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_CONNECTION_REMOTE_OPEN, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_CONNECTION_REMOTE_OPEN, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_SESSION_INIT, xport-1, 16384, sessn-1, 1048576, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_SESSION_INIT, xport-1, 16384, sessn-1, 1048576, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_SESSION_REMOTE_OPEN, xport-1, 16384, sessn-1, 1048576, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_SESSION_REMOTE_OPEN, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_LINK_INIT, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_LINK_INIT, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_LINK_REMOTE_OPEN, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_LINK_REMOTE_OPEN, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_CONNECTION_LOCAL_OPEN, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_CONNECTION_LOCAL_OPEN, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_SESSION_LOCAL_OPEN, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_SESSION_LOCAL_OPEN, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_LINK_LOCAL_OPEN, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_LINK_LOCAL_OPEN, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, , 0, 0, 0, 0
4.644, ENTER, PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
4.644, EXIT , PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_LISTENER_ACCEPT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_LISTENER_ACCEPT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_CONNECTION_INIT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_CONNECTION_INIT, , 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_CONNECTION_BOUND, xport-2, 0, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_CONNECTION_BOUND, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_CONNECTION_REMOTE_OPEN, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_CONNECTION_REMOTE_OPEN, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_SESSION_INIT, xport-2, 16384, sessn-2, 1048576, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_SESSION_INIT, xport-2, 16384, sessn-2, 1048576, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_SESSION_REMOTE_OPEN, xport-2, 16384, sessn-2, 1048576, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_SESSION_REMOTE_OPEN, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_LINK_INIT, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
7.281, EXIT , PN_LINK_INIT, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
7.281, ENTER, PN_LINK_REMOTE_OPEN, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
outgoing session limit for q1-multicast: 256K (requested 34359738352K)
7.281, EXIT , PN_LINK_REMOTE_OPEN, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
7.281, ENTER, PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
, address_send: entry
, address_send: sender blocked
7.281, EXIT , PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
7.281, ENTER, PN_CONNECTION_LOCAL_OPEN, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_CONNECTION_LOCAL_OPEN, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_SESSION_LOCAL_OPEN, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_SESSION_LOCAL_OPEN, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_LINK_LOCAL_OPEN, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
7.281, EXIT , PN_LINK_LOCAL_OPEN, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, , 1, 0, 0, 0
7.281, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.281, ENTER, PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: entry
, address_receive: started: pn_link_flow(FLOW_WINDOW=100)
7.282, EXIT , PN_CONNECTION_WAKE, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.282, ENTER, PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.282, EXIT , PN_TRANSPORT, xport-1, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
, address_receive: unblock sender; pn_connection_wake()
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_CONNECTION_WAKE, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_send: entry
, address_send: something to send. size=16348
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_send: create delivery pn_delivery()
, address_send: pending:0 = pn_session_outgoing_bytes()
, address_send: sent:16348 = pn_link_send(size=16348)
, address_send: a->size reduced to: 0
7.298, EXIT , PN_CONNECTION_WAKE, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: entry
, pending:16348 = pn_delivery_pending()
7.298, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.298, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 0, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
, address_send: entry
, address_send: something to send. size=32696
, address_send: pending:0 = pn_session_outgoing_bytes()
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_send: sent:32696 = pn_link_send(size=32696)
, address_send: a->size reduced to: 0
7.298, EXIT , PN_LINK_FLOW, xport-2, 16384, sessn-2, 262144, 2147483647, 0, 32696, link-2, my_receiver, sendr, 0, 0, dlvry-2, 1, 0, 0, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
7.298, ENTER, PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
7.298, EXIT , PN_TRANSPORT, xport-2, 16384, , 0, 0, 0, 0, , , , 0, 0, , 0, 0, 0, 0
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
7.298, EXIT , PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 0, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
7.298, ENTER, PN_DELIVERY, xport-1, 16384, sessn-1, 262144, 2147483647, 16348, 0, link-1, my_sender, recvr, 0, 0, dlvry-1, 100, 0, 1, 1
, address_receive: entry
, pending:16348 = pn_delivery_pending()
, address_receive: recv:16348 = pn_link_recv(size:16348)
, 0 = pn_delivery_pending()
